rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
4	1	6195	993	987	1196.55	1308.97	1286.66	0.0320797	0.32103	0.52997	0.550447	0.497652	0.490765	604	0	98	0.999596	0.0986438	0.170944	0.104055	0.104064	0.0165253	2169	3040	0	0.0394089
5	0	4195	405	397	810.256	1036.14	1104.47	-0.145065	0.952272	1.5522	1.60059	1.43127	1.38792	386	0	91	0.99798	0.150453	0.253397	0.122545	0.122562	0.0245208	902	nan	nan	nan
5	1	5498	984	968	1061.93	1104.59	1162.76	-0.0942432	0.137274	0.253278	0.277891	0.224377	0.227274	542	0	99	0.999798	0.0915045	0.158603	0.0986763	0.0987047	0.015229	2013	2697	0	0.0333922
6	0	4486	424	413	866.462	1113.28	1218.58	-0.209068	0.973089	1.59065	1.64289	1.46156	1.4168	415	0	93	0.998586	0.1534	0.254793	0.123144	0.123168	0.0248031	871	nan	nan	nan
6	1	6197	1170	1151	1196.94	1197.82	1223.39	-0.0367545	0.00252645	0.0770465	0.12063	0.0603322	0.0887948	590	0	98	0.999596	0.0805358	0.139422	0.0947726	0.0948023	0.0153607	2265	2916	0	0.0349335
7	0	4514	422	405	871.87	1089.39	1237.21	-0.291668	0.85228	1.54495	1.68103	1.40663	1.43133	401	0	87	0.996768	0.151119	0.249889	0.119742	0.119778	0.0251605	935	nan	nan	nan
7	1	5995	1145	1117	1157.92	1211.08	1235.1	-0.0356912	0.156866	0.160017	0.111068	0.122335	0.0578926	554	0	98	0.999596	0.0979313	0.170809	0.0991087	0.099154	0.0151189	2183	2868	0	0.0370956
8	0	4875	521	505	941.596	1156.74	1224.31	-0.123457	0.780592	1.36256	1.45609	1.24321	1.2431	468	0	90	0.99798	0.138285	0.235487	0.117586	0.117617	0.0233075	976	nan	nan	nan
8	1	5983	1029	1024	1155.6	1249.14	1173.42	0.112752	0.276574	0.383696	0.357904	0.36432	0.325824	584	0	98	0.999596	0.0962889	0.166137	0.102683	0.102691	0.0160078	1897	3090	0	0.0290863
9	0	4393	478	459	848.499	1114.2	1187.5	-0.148606	1.0697	1.51968	1.44089	1.37937	1.21538	410	0	95	0.99899	0.153916	0.249488	0.125737	0.125779	0.0266316	868	nan	nan	nan
9	1	6037	1051	1043	1166.03	1213.08	1238.38	-0.0373374	0.137849	0.287261	0.331615	0.270426	0.296144	579	0	98	0.999596	0.0914513	0.15521	0.0987386	0.0987517	0.0156204	2233	2871	0	0.032512
0	0	4482	496	483	865.689	1038.79	1130.24	-0.181735	0.683063	1.26357	1.38772	1.15538	1.18933	442	0	90	0.997374	0.129882	0.220437	0.11479	0.114817	0.0245805	958	nan	nan	nan
0	1	5725	1027	1017	1105.77	1122.95	1117.49	0.00850144	0.0530901	0.18869	0.252261	0.175497	0.221456	578	0	93	0.998586	0.0842068	0.147249	0.0962979	0.0963142	0.0156272	2008	2870	0	0.0373654
